Place	12500	15000	17500	20000	25000	30000	35000	40000	45000	50000	60000	70000	80000	90000	100000	150000	200000	300000	400000	500000	1000000
Zürich	140	249	402	576	920	1379	1866	2390	3003	3490	4926	6511	8125	9900	11696	21403	32808	58212	85296	112409	247888
Bern	0	0	131	303	807	1435	2046	2791	3726	4702	6586	8523	10460	12557	14750	26676	39397	65920	93166	120691	260296
Luzern	50	83	153	265	752	1380	2129	2864	3616	4352	5839	7344	8866	10372	11876	19633	27990	46026	64256	82505	173693
Altdorf	100	100	100	281	945	1624	2288	2967	3570	4174	5411	6724	8037	9334	10632	17151	23895	37370	50920	64485	132265
Schwyz	146	250	376	514	817	1157	1495	1824	2229	2663	3650	4695	5783	6920	8110	14063	20042	31747	42990	54245	110482
Sarnen	0	258	530	802	1345	1862	2324	2786	3302	3873	5083	6292	7502	8698	9907	15955	22029	34165	46369	58586	119633
Stans	50	96	202	360	805	1412	1990	2564	3146	3776	5109	6494	7862	9230	10650	17858	25316	38650	52060	65484	132561
Glarus	0	129	347	565	1006	1619	2138	2727	3372	4049	5419	7012	8630	10230	11830	20197	29466	49044	70201	92386	187549
Zug	11	47	115	209	415	630	861	1097	1348	1601	2233	2909	3598	4545	6114	13417	19354	29928	40560	51204	104389
Freiburg	98	218	402	598	1331	2052	2655	3334	4155	4827	6783	8732	10809	12982	15139	26612	40069	64241	86584	108927	220715
Solothurn	60	220	504	829	1556	2329	3123	3928	4770	5757	7730	9802	11936	14097	16302	28068	40603	65675	89876	112895	227993
Basel	0	0	0	0	0	660	1778	2919	4037	5154	7413	9672	11930	14166	16425	27722	39073	62918	88138	113382	239529
Liestal	0	0	0	0	585	1152	1842	2635	3517	4477	6541	8717	10987	13340	15767	28668	41989	69189	97054	125342	270659
Schaffhausen	71	183	345	566	1113	1717	2386	3019	3695	4444	6152	7976	9917	11977	14087	24684	36349	57829	77654	97501	196671
Herisau	56	211	445	697	1315	1947	2577	3161	3898	4621	6249	8004	9809	11628	13503	23285	33396	53296	71507	89739	180837
Appenzell	202	323	476	653	1094	1594	2107	2653	3252	3867	5182	6488	7810	9180	10698	18388	25824	39828	53622	67430	136428
St. Gallen	0	0	148	350	949	1569	2205	2920	3784	4717	6604	8500	10670	12815	14985	26022	37157	59106	79333	99583	200765
Chur	0	0	0	22	406	987	1630	2235	2926	3672	5403	7184	8962	10774	12585	22211	32274	52485	72963	93672	196388
Aarau	0	0	0	0	212	905	1537	2333	3198	3965	5619	7361	9116	10941	12769	22248	32366	53293	74676	96724	206890
Frauenfeld	0	0	0	180	680	1399	2126	2837	3601	4430	6108	7806	9444	11102	12841	21978	31725	51871	72130	92411	193751
Bellinzona	20	20	131	349	736	1073	1366	1905	2730	3556	5363	7216	9275	11320	13344	24402	35997	60003	85006	111273	243330
Lausanne	0	0	0	0	0	155	891	2050	3370	4777	7753	9774	11814	13918	16110	28378	42110	72109	104578	131790	266550
Sitten	34	34	34	34	698	1336	2033	2757	3443	4205	5881	7802	9785	11906	14111	27306	40698	63977	88640	111805	225613
Neuenburg	111	188	338	492	1052	1943	2749	3748	4846	5969	8509	10954	13459	15936	18578	32172	47174	72607	97607	122635	247692
Genf	25	25	25	25	25	528	1240	2028	2942	3932	5960	8259	10584	12909	15303	27401	39957	66523	94838	123785	272856
Delsberg	0	165	331	496	1053	1836	2602	3505	4484	5462	7440	9835	12243	14625	17034	30437	44047	72233	100877	129552	274931
Direkte Bundessteuer	0	0	0	0	31	66	99	134	173	212	436	682	941	1300	1854	5245	10021	21747	33600	45467	102397
